date,count,amount
2001-01-24 00:00:00,604,104981.59000000003
2001-01-25 00:00:00,1699,49850.20000000031
2001-01-26 00:00:00,1452,78710.81000000001
2001-01-27 00:00:00,162,1861.0500000000002
2001-01-28 00:00:00,76,8760.72
2001-01-29 00:00:00,370,49475.71
2001-01-30 00:00:00,584,78693.84
2001-01-31 00:00:00,4973,220752.56999999948
2001-02-01 00:00:00,2350,106603.71999999986
2001-02-02 00:00:00,1245,106742.39000000007
2001-02-03 00:00:00,187,3703.0
2001-02-04 00:00:00,113,33594.76
2001-02-05 00:00:00,1006,61956.97000000012
2001-02-06 00:00:00,1404,89155.21
2001-02-07 00:00:00,435,51679.31
2001-02-08 00:00:00,1238,46729.87999999992
2001-02-09 00:00:00,599,119753.91
2001-02-10 00:00:00,412,9793.380000000001
2001-02-11 00:00:00,31,819.82
2001-02-12 00:00:00,672,76802.44999999998
2001-02-13 00:00:00,1306,73927.32999999984
2001-02-14 00:00:00,1722,388614.0
2001-02-15 00:00:00,3984,188030.94999999958
2001-02-16 00:00:00,1052,85525.14
2001-02-17 00:00:00,156,13558.98
2001-02-18 00:00:00,33,375.56000000000006
2001-02-19 00:00:00,241,35408.10000000002
2001-02-20 00:00:00,1294,161563.94
2001-02-21 00:00:00,1695,89483.6899999998
2001-02-22 00:00:00,433,83200.88
2001-02-23 00:00:00,665,57676.62999999997
2001-02-24 00:00:00,216,31266.489999999998
2001-02-25 00:00:00,79,4572.970000000001
2001-02-26 00:00:00,293,68955.88
2001-02-27 00:00:00,1289,83509.87000000001
2001-02-28 00:00:00,10113,385492.49000000063
2001-03-01 00:00:00,1844,113912.39999999992
2001-03-02 00:00:00,1412,83407.86000000004
2001-03-03 00:00:00,175,3725.03
2001-03-04 00:00:00,11,726.0
2001-03-05 00:00:00,1465,102186.68
2001-03-06 00:00:00,654,86189.65
2001-03-07 00:00:00,437,72308.48000000001
2001-03-08 00:00:00,2040,130843.06999999954
2001-03-09 00:00:00,1747,92959.68000000002
2001-03-10 00:00:00,378,10012.409999999996
2001-03-11 00:00:00,29,272.36
2001-03-12 00:00:00,590,53427.0
2001-03-13 00:00:00,2003,139862.21000000008
2001-03-14 00:00:00,246,34722.08
2001-03-15 00:00:00,3966,161350.76999999967
2001-03-16 00:00:00,1255,81252.86000000002
2001-03-17 00:00:00,126,3064.34
2001-03-18 00:00:00,45,2136.1800000000003
2001-03-19 00:00:00,1073,79585.02000000021
2001-03-20 00:00:00,1412,78836.70000000001
2001-03-21 00:00:00,557,134103.83
2001-03-22 00:00:00,333,18331.88
2001-03-23 00:00:00,2134,65578.11000000036
2001-03-24 00:00:00,253,13028.849999999999
2001-03-25 00:00:00,220,9777.44
2001-03-26 00:00:00,416,43781.45999999999
2001-03-27 00:00:00,420,59282.25
2001-03-28 00:00:00,507,160275.58
2001-03-29 00:00:00,496,182450.71000000005
2001-03-30 00:00:00,3839,194346.13999999987
2001-03-31 00:00:00,2794,96693.9699999998
2001-04-01 00:00:00,335,94702.58
2001-04-02 00:00:00,756,81063.95000000008
2001-04-03 00:00:00,687,70977.93000000005
2001-04-04 00:00:00,286,26960.19
2001-04-05 00:00:00,2821,60486.32000000038
2001-04-06 00:00:00,740,43087.24
2001-04-07 00:00:00,318,5722.929999999995
2001-04-08 00:00:00,45,3514.5499999999993
2001-04-09 00:00:00,770,61033.7
2001-04-10 00:00:00,315,51171.990000000005
2001-04-11 00:00:00,505,37976.119999999995
2001-04-12 00:00:00,2244,173580.98000000033
2001-04-13 00:00:00,2152,69970.64999999997
2001-04-14 00:00:00,15,6580.0
2001-04-15 00:00:00,2044,65122.8199999999
2001-04-16 00:00:00,466,44836.39
2001-04-17 00:00:00,1219,99693.00999999998
2001-04-18 00:00:00,487,67489.83
2001-04-19 00:00:00,89,23776.86
2001-04-20 00:00:00,1164,53995.3
2001-04-21 00:00:00,61,7204.900000000001
2001-04-22 00:00:00,212,4231.25
2001-04-23 00:00:00,2225,87829.1999999995
2001-04-24 00:00:00,397,62018.58000000005
2001-04-25 00:00:00,388,46312.399999999994
2001-04-26 00:00:00,894,49247.71
2001-04-27 00:00:00,1210,64285.84000000007
2001-04-28 00:00:00,32,2515.5
2001-04-29 00:00:00,124,3266.2000000000003
2001-04-30 00:00:00,5826,258404.77999999895
2001-05-01 00:00:00,2209,87681.19000000002
2001-05-02 00:00:00,572,43753.67
2001-05-03 00:00:00,503,85994.11
2001-05-04 00:00:00,1963,103762.17000000003
2001-05-05 00:00:00,648,31723.189999999973
2001-05-06 00:00:00,6,940.0
2001-05-07 00:00:00,526,164787.75
2001-05-08 00:00:00,302,52580.44
2001-05-09 00:00:00,2408,55080.550000000374
2001-05-10 00:00:00,476,79229.48
2001-05-11 00:00:00,2419,94334.65999999983
2001-05-12 00:00:00,18,2545.0
2001-05-13 00:00:00,12,590.94
2001-05-14 00:00:00,564,116032.97999999998
2001-05-15 00:00:00,4249,191164.05999999942
2001-05-16 00:00:00,532,46961.889999999985
2001-05-17 00:00:00,251,38392.60000000005
2001-05-18 00:00:00,1485,80809.65000000001
2001-05-19 00:00:00,63,5871.400000000001
2001-05-20 00:00:00,385,17381.760000000002
2001-05-21 00:00:00,299,54698.70999999999
2001-05-22 00:00:00,924,81548.52000000002
2001-05-23 00:00:00,2385,66148.2300000003
2001-05-24 00:00:00,845,98142.01999999992
2001-05-25 00:00:00,974,96717.79000000001
2001-05-26 00:00:00,277,14796.0
2001-05-27 00:00:00,6,85.82
2001-05-28 00:00:00,19,8694.0
